status,index,name_ru,name_en,description_ru,facts_ru,description_en,facts_en,notes
imported,1020,Горы Хавраман,Hawraman Mountains,yes,1,yes,1,
imported,1812,Вавилон,Babylon,yes,1,yes,1,
imported,1334,Шееха-Дар,Cheekha Dar,yes,1,yes,1,
imported,1341,Евфрат,Euphrates,yes,1,yes,1,
imported,1811,Древний город Хатра,Hatra,yes,1,yes,1,
imported,908,Месопотамские болота,Mesopotamian Marshes,yes,1,yes,1,
imported,1335,Синджар (горы),Sinjar Mountains,yes,1,yes,1,
imported,1343,Блэкстейрс,Blackstairs Mountains,yes,1,yes,1,
imported,1021,Гэп-оф-Данлоу,Gap of Dunloe,yes,1,yes,1,
imported,1344,Гленвей (национальный парк),Glenveagh,yes,1,yes,1,
imported,1342,Лугнакилла,Lugnaquilla,yes,1,yes,1,
imported,1022,Национальный парк Монти-Сибиллини,Monti Sibillini National Park,yes,1,yes,1,
imported,1355,Аварим,Abarim,yes,1,yes,1,
imported,1357,Пустыни Аравийского полуострова,Arabian Desert,yes,1,yes,1,
imported,1358,Иорданская долина,Jordan Valley,yes,1,yes,1,
imported,1893,Древний город Петра,Petra,yes,1,yes,1,
imported,1027,Вади-Муджиб,Wadi Mujib,yes,1,yes,1,
imported,1365,Алма-Арасан (ущелье),Alma-Arasan,yes,1,yes,1,
imported,1363,Джунгарский Алатау,Dzungarian Alatau,yes,1,yes,1,
imported,1364,Мойынкум,Moiynkum Desert,yes,1,yes,1,
imported,1361,Устюрт,Ustyurt Plateau,yes,1,yes,1,
imported,849,Западный Тянь-Шань,Western Tien-Shan,yes,1,yes,1,
imported,916,Каньон Ругово,Rugova Canyon,yes,1,yes,1,
imported,1377,Боомское ущелье,Boom Gorge,yes,1,yes,1,
imported,1375,Чуйская долина,Chüy Valley,yes,1,yes,1,
imported,1376,Пик Победы,Jengish Chokusu,yes,1,yes,1,
imported,1378,Карадарья,Kara Darya,yes,1,yes,1,
imported,1381,Чыонгшон,Annamite Range,yes,1,yes,1,
imported,1380,Пхубиа,Phou Bia,yes,1,yes,1,
imported,1384,Западная Двина,Daugava,yes,1,yes,1,
imported,1914,Древний город Баальбек,Baalbek,yes,1,yes,1,
imported,2380,Бейрут,Beirut,yes,2,yes,2,
imported,1383,Долина Бекаа,Beqaa Valley,yes,1,yes,1,
imported,1915,Древний город Библ (Джубейль),Byblos,yes,1,yes,1,
imported,1388,Монт-о-Сурс,Mont-Aux-Sources,yes,1,yes,1,
imported,850,Малоти-Дракенсберг,Maloti-Drakensberg Park,yes,1,yes,1,
imported,921,Горы Акакус,Acacus Mountains,yes,1,yes,1,
imported,1396,Идехан-Марзук,Murzuq Desert,yes,1,yes,1,
imported,1391,Тибести,Tibesti Mountains,yes,1,yes,1,
imported,1390,Вади-Метхандуш,Wadi Mathendous,yes,1,yes,1,
imported,1399,Драй-Швестерн,Drei Schwestern,yes,1,yes,1,
imported,1397,Восточные Альпы,Eastern Alps,yes,1,yes,1,
imported,1398,Фалькнис,Falknis,yes,1,yes,1,
imported,1401,Гампринер-Зеле,Gampriner Seele,yes,1,yes,1,
imported,1400,Рейн,Rhine,yes,1,yes,1,
imported,1039,Муландже (массив),Mulanje Massif,yes,1,yes,1,
imported,2395,Куала-Лумпур,Kuala Lumpur,yes,2,yes,2,
imported,925,Перхентианские острова,Perhentian Islands,yes,1,yes,1,
imported,927,Структура Ришат,Richat Structure,yes,1,yes,1,
imported,1941,Ааправаси-Гхат – иммиграционный терминал (город Порт-Луи),Aapravasi Ghat,yes,1,yes,1,
imported,776,Биосферный резерват Сиан-Каан,Sian Ka'an,yes,1,yes,1,
imported,2391,Касабланка,Casablanca,yes,1,yes,1,
imported,1044,Эрг-Шигага,Erg Chigaga,yes,1,yes,1,
imported,1045,Ущелье Тодра,Todra Gorge,yes,1,yes,1,
imported,931,Архипелаг Базаруто,Bazaruto Archipelago,yes,1,yes,1,
imported,1193,Ракхайн (хребет),Arakan Mountains,yes,1,yes,1,
imported,1987,Баган,Bagan,yes,1,yes,1,
imported,934,Архипелаг Мергуи,Mergui Archipelago,yes,1,yes,1,
imported,935,Солончак Этоша,Etosha Pan,yes,1,yes,1,
imported,936,Лагуна Буада,Buada Lagoon,yes,1,yes,1,
imported,1989,Долина Катманду,Kathmandu Valley,yes,1,yes,1,
imported,1223,Пролив Кука,Cook Strait,yes,1,yes,1,
imported,938,Вулкан Масая,Masaya Volcano,yes,1,yes,1,
imported,939,Горы Аир,Aïr Mountains,yes,1,yes,1,
imported,940,Массив Термит,Termit Massif,yes,1,yes,1,
imported,1053,Национальный парк Кросс-Ривер,Cross River National Park,yes,1,yes,1,
imported,942,Плато Обуду,Obudu Plateau,yes,1,yes,1,
imported,2007,Старый портовый квартал Брюгген (город Берген),Bryggen,yes,1,yes,1,
imported,1351,Галлхёпигген,Galdhøpiggen,yes,1,yes,1,
imported,1055,Джебель-Шамс,Jebel Shams,yes,1,yes,1,
imported,1056,Вади-Бани-Халид,Wadi Bani Khalid,yes,1,yes,1,
imported,945,Долина Хунза,Hunza Valley,yes,1,yes,1,
imported,2017,Древний город Таксила,Taxila,yes,1,yes,1,
imported,1281,Хевронское нагорье,Hebron Hills,yes,1,yes,1,
imported,947,Вади-Кельт,Wadi Qelt,yes,1,yes,1,
imported,1058,Фьорды Туфи,Tufi Fjords,yes,1,yes,1,
imported,2381,Шэньчжэнь,Shenzhen,yes,1,yes,1,
imported,2366,Мачу-Пикчу,Machu Picchu,yes,2,yes,2,
imported,1247,Доггер-банка,Dogger Bank,yes,1,yes,1,
imported,1249,Лим-фьорд,Limfjord,yes,1,yes,1,
imported,1254,Зеландия (остров),Zealand,yes,1,yes,1,
imported,1225,Ла-Грилле,La Grille,yes,1,yes,1,
imported,1224,Мозамбикский пролив,Mozambique Channel,yes,1,yes,1,
imported,2394,Доха,Doha,yes,2,yes,2,
imported,2080,Тумулусы Каи,Gaya Tumuli,yes,1,yes,1,
imported,2071,Крепость Хвасон (город Сувон),Hwaseong Fortress,yes,1,yes,1,
imported,2076,Намхансансон,Namhansanseong,yes,1,yes,1,
imported,797,Дельта Дуная,Danube Delta,yes,1,yes,1,
imported,955,Рифы Тобаго-Кейс,Tobago Cays,yes,1,yes,1,
imported,956,Блоухолы Алофаага,Alofaaga Blowholes,yes,1,yes,1,
